metric,value
trimRegisteredShell,1
trimShell,1
trimHoleShell,0
elemTotal,100
elemIn,28
elemCut,36
elemOut,36
standardQuadraturePoints,448
subCellCandidatePoints,14400
subCellAcceptedPoints,8795
triangleIntegrationPoints,0
candidateQuadraturePoints,14848
activeQuadraturePoints,9243
activeCandidateQuadratureRatio,0.622508
stiffnessIntegratedParametricArea,0.499961
stiffnessIntegratedPhysicalArea,18015.1
activeParametricAreaReference,0.5
activeAreaConsistencyError,7.75903e-05
policySubcell,36
policyTriangle,0
policyFallback,0
severitySmallArea,9
severityHoleThrough,0
severitySliver,0
areaFractionSamples,36
minAreaFraction,0.00950361
maxAreaFraction,1
meanAreaFraction,0.611111
areaFractionBin0,1
areaFractionBin1,3
areaFractionBin2,2
areaFractionBin3,3
areaFractionBin4,4
areaFractionBin5,23
policyReason.none,0
policyReason.mild-cut,0
policyReason.small-retained-region,0
policyReason.tiny-support,0
policyReason.sliver-risk,0
policyReason.hole-through-cell,0
policyReason.complex-boundary,0
policyReason.forced-triangle,0
policyReason.forced-subcell,36
policyReason.fallback,0
pressurePointsTested,0
pressurePointsRejectedByTrim,0
pressureRejectionRatio,0
pressureIntegratedPhysicalArea,0
pressureAppliedResultant,0
pressureResultantReference,0
pressureResultantRelativeError,0
lineLoadPointsTested,0
lineLoadPointsRejectedByTrim,0
lineLoadRejectionRatio,0
lineLoadIntegratedLength,1597.28
lineLoadAppliedResultant,68454.7
lineLoadResultantReference,68454.7
lineLoadResultantError,0
lineLoadResultantRelativeError,0
couplingPointsTested,0
couplingPointsAcceptedBothDomains,0
couplingPointsRejectedByMasterTrim,0
couplingPointsRejectedBySlaveTrim,0
couplingAcceptanceRatio,0
couplingMasterRejectionRatio,0
couplingSlaveRejectionRatio,0
trimClassifyMs,0.07
trimClipTriMs,0
trimTotalMs,11947.1
