metric,value
trimRegisteredShell,92
trimShell,2
trimHoleShell,1
elemTotal,288
elemIn,111
elemCut,119
elemOut,58
standardQuadraturePoints,1776
subCellCandidatePoints,1200
subCellAcceptedPoints,845
triangleIntegrationPoints,2373
candidateQuadraturePoints,5349
activeQuadraturePoints,4994
activeCandidateQuadratureRatio,0.933632
stiffnessIntegratedParametricArea,1.4004
stiffnessIntegratedPhysicalArea,2.58832e+06
activeParametricAreaReference,1.43767
activeAreaConsistencyError,0.0259182
policySubcell,0
policyTriangle,116
policyFallback,3
severitySmallArea,12
severityHoleThrough,20
severitySliver,1
areaFractionSamples,119
minAreaFraction,0.000554911
maxAreaFraction,1
meanAreaFraction,0.806923
areaFractionBin0,4
areaFractionBin1,2
areaFractionBin2,1
areaFractionBin3,5
areaFractionBin4,7
areaFractionBin5,100
policyReason.none,0
policyReason.mild-cut,0
policyReason.small-retained-region,0
policyReason.tiny-support,0
policyReason.sliver-risk,0
policyReason.hole-through-cell,0
policyReason.complex-boundary,0
policyReason.zero-visible,0
policyReason.cost-preferred-triangle,0
policyReason.area-guard-fallback,0
policyReason.forced-triangle,116
policyReason.forced-subcell,0
policyReason.fallback,3
pressurePointsTested,112
pressurePointsRejectedByTrim,0
pressureRejectionRatio,0
pressureIntegratedPhysicalArea,300000
pressureAppliedResultant,18000
pressureResultantReference,18000
pressureResultantRelativeError,0
lineLoadPointsTested,0
lineLoadPointsRejectedByTrim,0
lineLoadRejectionRatio,0
lineLoadIntegratedLength,0
lineLoadAppliedResultant,0
lineLoadResultantReference,0
lineLoadResultantError,0
lineLoadResultantRelativeError,0
couplingPointsTested,232
couplingPointsAcceptedBothDomains,162
couplingPointsRejectedByMasterTrim,70
couplingPointsRejectedBySlaveTrim,0
couplingAcceptanceRatio,0.698276
couplingMasterRejectionRatio,0.301724
couplingSlaveRejectionRatio,0
trimClassifyMs,0.186
trimClipTriMs,127.024
trimTotalMs,7208.78
